Cow_ID,earliest_clinical_Day,latest_clinical_Day,first_positive_day,positive_days,negative_days,total_observation_days
cow180,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow181,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow182,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow183,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow184,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow185,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow186,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow187,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow188,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow189,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow19,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow190,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow191,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow192,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow193,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow194,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow195,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow196,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow197,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow198,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow199,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow2,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow20,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow200,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow201,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow202,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow203,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow204,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow205,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow206,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow207,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow208,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow209,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow21,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow210,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow211,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow212,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow213,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow214,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow215,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow216,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow217,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow218,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow219,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow22,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow220,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow221,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow222,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow223,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow224,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow225,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow226,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow227,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow228,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow229,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow23,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow230,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow231,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow232,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow233,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow234,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow235,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow236,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow237,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow238,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow239,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow24,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow240,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow241,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow242,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow243,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
